,week,hour_of_week,ChatsInBlock,rate,treatment
0,1,0,313,0.004533406717552829,0.0
1,1,1,250,0.003534718000197944,0.0
2,1,2,266,0.0036819157035088935,0.0
3,1,3,283,0.0035839570431721187,0.0
4,1,4,333,0.0034031333353772572,0.0
5,1,5,480,0.004097870814622569,0.0
6,1,6,576,0.004427942160005535,0.0
7,1,7,656,0.004911870853737065,0.0
8,1,8,762,0.005714971425142874,0.0
9,1,9,923,0.007184277096711422,0.0
10,1,10,950,0.0075880412469947365,0.0
11,1,11,992,0.008063401747612274,0.0
12,1,12,861,0.007217220741336821,0.0
13,1,13,940,0.008396530625005583,0.0
14,1,14,958,0.009316800389010454,0.0
15,1,15,822,0.008567497706995747,0.0
16,1,16,798,0.007950028392958546,0.0
17,1,17,698,0.006721815082674473,0.0
18,1,18,652,0.006862146631022797,0.0
19,1,19,628,0.006964545142007963,0.0
20,1,20,543,0.0064485481859747045,0.0
21,1,21,501,0.006163271331561854,0.0
22,1,22,345,0.004235311448844804,0.0
23,1,23,328,0.004013263345935959,0.0
24,1,24,271,0.0032526765567237985,0.0
25,1,25,248,0.0029169607151258528,0.0
26,1,26,273,0.003142409871541047,0.0
27,1,27,300,0.0028261361067148994,0.0
28,1,28,334,0.0019061750941673325,0.0
29,1,29,485,0.0017901831523464318,0.0
30,1,30,577,0.0020150939969756127,0.0
31,1,31,678,0.0025798792251230007,0.0
32,1,32,819,0.0033434303023375436,0.0
33,1,33,911,0.004301390043061117,0.0
34,1,34,926,0.004662028133275604,0.0
35,1,35,871,0.004622013733377201,0.0
36,1,36,930,0.005329909964639199,0.0
37,1,37,978,0.006704691913236625,0.0
38,1,38,917,0.008825624145829724,0.0
39,1,39,861,0.007525697503671072,0.0
40,1,40,819,0.007663014493296032,0.0
41,1,41,738,0.007155114743608388,0.0
42,1,42,760,0.007808887747238633,0.0
43,1,43,684,0.0074963833238349915,0.0
44,1,44,535,0.006218977762795401,0.0
45,1,45,485,0.006001435394857327,0.0
46,1,46,386,0.0047522314558325635,0.0
47,1,47,346,0.004202190968932935,0.0
48,1,48,284,0.0033841350794199306,0.0
49,1,49,237,0.00275494902763086,0.0
50,1,50,251,0.002962735631912558,0.0
51,1,51,273,0.003016008042688114,0.0
52,1,52,309,0.0026594371288406918,0.0
53,1,53,452,0.0028459354123773007,0.0
54,1,54,559,0.002963929141414945,0.0
55,1,55,696,0.0035527786710770125,0.0
56,1,56,732,0.003739520912197888,0.0
57,1,57,765,0.004219083493732042,0.0
58,1,58,865,0.004836346964563275,0.0
59,1,59,943,0.0052993009193697035,0.0
60,1,60,909,0.005355817159826069,0.0
61,1,61,890,0.0057663774839156945,0.0
62,1,62,881,0.006753441879005305,0.0
63,1,63,798,0.00735870457290927,0.0
64,1,64,779,0.007725185692043753,0.0
65,1,65,824,0.008441671532921495,0.0
66,1,66,748,0.007805570338832712,0.0
67,1,67,701,0.007625864844871851,0.0
68,1,68,578,0.0066119105904962365,0.0
69,1,69,512,0.006233791533244859,0.0
70,1,70,401,0.004879057769990753,0.0
71,1,71,266,0.0032166005610912256,0.0
72,1,72,268,0.0031907800742927896,0.0
73,1,73,246,0.002819936723371085,0.0
74,1,74,200,0.0023404404708966225,0.0
75,1,75,273,0.0029974636845745907,0.0
76,1,76,308,0.002682669779028142,0.0
77,1,77,486,0.003161695345281853,0.0
78,1,78,540,0.002937864172746413,0.0
79,1,79,685,0.0035406738134866073,0.0
80,1,80,771,0.00400829733144096,0.0
81,1,81,779,0.004302464942366853,0.0
82,1,82,731,0.004160950814259937,0.0
83,1,83,830,0.004839029395646039,0.0
84,1,84,792,0.004823621126486065,0.0
85,1,85,830,0.005517993311926178,0.0
86,1,86,737,0.00576114316088989,0.0
87,1,87,725,0.006620581332700192,0.0
88,1,88,716,0.006906463716950738,0.0
89,1,89,731,0.007149004420451434,0.0
90,1,90,706,0.007393986364064808,0.0
91,1,91,705,0.007850692085834233,0.0
92,1,92,555,0.006717827055291953,0.0
93,1,93,455,0.005974421597205809,0.0
94,1,94,323,0.0042653778094709875,0.0
95,1,95,245,0.003306610521769644,0.0
96,1,96,221,0.002972907530468939,0.0
97,1,97,222,0.0028788546826775943,0.0
98,1,98,228,0.002955588395426616,0.0
99,1,99,269,0.0030903555632144294,0.0
100,1,100,311,0.00251717914059781,0.0
101,1,101,419,0.002255416498452429,0.0
102,1,102,502,0.0023078337624126517,0.0
103,1,103,624,0.00287265043435027,0.0
104,1,104,732,0.003444154817582128,0.0
105,1,105,712,0.0037021053124171315,0.0
106,1,106,724,0.003957235619493212,0.0
107,1,107,785,0.004426525318597045,0.0
108,1,108,759,0.004610450354136042,0.0
109,1,109,805,0.005436470953712333,0.0
110,1,110,718,0.005917598674721634,0.0
111,1,111,672,0.006709868099170253,0.0
112,1,112,616,0.00691435626894152,0.0
113,1,113,712,0.008727629320911989,0.0
114,1,114,666,0.008752217622708457,0.0
115,1,115,578,0.007860095735422106,0.0
116,1,116,539,0.007646583154818482,0.0
117,1,117,435,0.006559008458859185,0.0
118,1,118,348,0.005646417445482866,0.0
119,1,119,293,0.005032375521701046,0.0
120,1,120,242,0.004368309897290565,0.0
121,1,121,241,0.004401424527440416,0.0
122,1,122,206,0.003688517251875593,0.0
123,1,123,198,0.0032822213012847078,0.0
124,1,124,244,0.0035731021555763824,0.0
125,1,125,320,0.004032817048734073,0.0
126,1,126,549,0.006085462506235105,0.0
127,1,127,550,0.005447756019770402,0.0
128,1,128,659,0.006201068955133996,0.0
129,1,129,789,0.007343633655994043,0.0
130,1,130,798,0.007672412964262708,0.0
131,1,131,711,0.0070414863379319225,0.0
132,1,132,714,0.007339939964636704,0.0
133,1,133,683,0.007504339991649636,0.0
134,1,134,808,0.009626152636469775,0.0
135,1,135,618,0.007916378449004688,0.0
136,1,136,637,0.008649250488811645,0.0
137,1,137,642,0.008929440727707693,0.0
138,1,138,547,0.007733197613594594,0.0
